Player,Team,Points,Cost,Position
Davidson,West Brom,2,4.5,D,5
Dawson,West Brom,27,4.5,D,5
Collins,West Ham,0,4.5,D,5
Hayden,Arsenal,0,4.4,D,5
Beller?n,Arsenal,0,4.4,D,5
Baker,Aston Villa,10,4.4,D,5
Clark,Aston Villa,0,4.4,D,5
Keane,Burnley,1,4.4,D,5
Mariappa,Crystal Palace,6,4.4,D,5
Fryers,Crystal Palace,1,4.4,D,5
Hibbert,Everton,2,4.4,D,5
Ryan Taylor,Newcastle,0,4.4,D,5
Santon,Newcastle,0,4.4,D,5
Haidara,Newcastle,1,4.4,D,5
Ferdinand,QPR,11,4.4,D,5
Hill,QPR,6,4.4,D,5
Naughton,Spurs,0,4.4,D,5
Muniesa,Stoke,8,4.4,D,5
Jones,Sunderland,5,4.4,D,5
Tiendalli,Swansea,2,4.4,D,5
Kingsley,Swansea,0,4.4,D,5
Gamboa,West Brom,6,4.4,D,5
Pocognoli,West Brom,16,4.4,D,5
O'Brien,West Ham,9,4.4,D,5
Lowton,Aston Villa,0,4.3,D,5
Okore,Aston Villa,0,4.3,D,5
Ak?,Chelsea,0,4.3,D,5
Alcaraz,Everton,0,4.3,D,5
Maguire,Hull,0,4.3,D,5
Rosenior,Hull,6,4.3,D,5
Figueroa,Hull,0,4.3,D,5
Simpson,Leicester,2,4.3,D,5
Boyata,Man City,0,4.3,D,5
James,Man Utd,0,4.3,D,5
Dunne,QPR,1,4.3,D,5
Onuoha,QPR,1,4.3,D,5
Dionatan,Stoke,0,4.3,D,5
Hutton,Aston Villa,20,4.2,D,5
Duff,Burnley,24,4.2,D,5
Cameron,Stoke,0,4.2,D,5
Wisdom,West Brom,22,4.1,D,5
Donacien,Aston Villa,0,4.0,D,5
Dummigan,Burnley,0,4.0,D,5
McCarthy,Crystal Palace,0,4.0,D,5
Hunt,Crystal Palace,0,4.0,D,5
Inniss,Crystal Palace,0,4.0,D,5
Browning,Everton,1,4.0,D,5
McShane,Hull,5,4.0,D,5
Dudgeon,Hull,0,4.0,D,5
Moore,Leicester,10,4.0,D,5
Thorpe,Man Utd,1,4.0,D,5
Dummett,Newcastle,11,4.0,D,5
Satka,Newcastle,0,4.0,D,5
Stephens,Southampton,0,4.0,D,5
McCarthy,Southampton,0,4.0,D,5
Richards,Swansea,1,4.0,D,5
Daniels,West Brom,0,4.0,D,5
Baird,West Brom,1,4.0,D,5
Burke,West Ham,0,4.0,D,5
Potts,West Ham,0,4.0,D,5
Chambers,West Ham,0,4.0,D,5
Long,Burnley,0,3.9,D,5
Lafferty,Burnley,0,3.9,D,5
Garbutt,Everton,0,3.9,D,5
Bruce,Hull,1,3.9,D,5
Wasilewski,Leicester,0,3.9,D,5
Upson,Leicester,0,3.9,D,5
Steven Taylor,Newcastle,1,3.9,D,5
Yun,QPR,0,3.9,D,5
Targett,Southampton,1,3.9,D,5
Veljkovic,Spurs,0,3.9,D,5
Wilkinson,Stoke,0,3.9,D,5
Tate,Swansea,0,3.9,D,5
Bartley,Swansea,0,3.9,D,5
O'Neil,West Brom,0,3.9,D,5
Yaya Tour?,Man City,8,10.7,M,5
S?nchez,Arsenal,23,10.3,M,5
Di Mar?a,Man Utd,30,10.0,M,5
Hazard,Chelsea,28,9.9,M,5
F?bregas,Chelsea,35,9.5,M,5
Silva,Man City,25,9.1,M,5
Walcott,Arsenal,0,9.0,M,5
?zil,Arsenal,23,9.0,M,5
Ramsey,Arsenal,29,8.9,M,5
Gerrard,Liverpool,30,8.9,M,5
Sterling,Liverpool,35,8.9,M,5
Mata,Man Utd,24,8.7,M,5
Lallana,Liverpool,4,8.4,M,5
Oscar,Chelsea,19,8.3,M,5
Cazorla,Arsenal,11,8.2,M,5
Nasri,Man City,12,8.2,M,5
Lamela,Spurs,22,8.0,M,5
Eriksen,Spurs,22,7.9,M,5
Willian,Chelsea,21,7.7,M,5
Coutinho,Liverpool,6,7.7,M,5
Tadic,Southampton,24,7.5,M,5
Sch?rrle,Chelsea,19,7.4,M,5
Mirallas,Everton,20,7.4,M,5
Cabella,Newcastle,15,7.4,M,5
Markovic,Liverpool,5,7.3,M,5
Navas,Man City,14,7.3,M,5
Herrera,Man Utd,23,7.3,M,5
Fernandinho,Man City,6,6.9,M,5
de Jong,Newcastle,3,6.9,M,5
Man?,Southampton,4,6.9,M,5
Paulinho,Spurs,1,6.8,M,5
Barkley,Everton,0,6.7,M,5
Sigurdsson,Swansea,36,6.7,M,5
Wilshere,Arsenal,17,6.4,M,5
Chamberlain,Arsenal,17,6.4,M,5
Fellaini,Man Utd,1,6.3,M,5
Gouffran,Newcastle,18,6.3,M,5
Lennon,Spurs,5,6.3,M,5
Townsend,Spurs,2,6.3,M,5
Arnautovic,Stoke,7,6.3,M,5
Johnson,Sunderland,18,6.3,M,5
Nolan,West Ham,3,6.3,M,5
Januzaj,Man Utd,6,6.2,M,5
Chadli,Spurs,36,6.2,M,5
Odemwingie,Stoke,3,6.2,M,5
Salah,Chelsea,1,6.1,M,5
Henderson,Liverpool,21,6.0,M,5
Varela,West Brom,0,6.0,M,5
Puncheon,Crystal Palace,24,5.9,M,5
Atsu,Everton,3,5.9,M,5
Valencia,Man Utd,12,5.9,M,5
Sissoko,Newcastle,12,5.9,M,5
Schneiderlin,Southampton,32,5.9,M,5
?lvarez,Sunderland,3,5.9,M,5
Giaccherini,Sunderland,4,5.9,M,5
Pienaar,Everton,7,5.8,M,5
Ben Arfa,Hull,2,5.8,M,5
Montero,Swansea,6,5.8,M,5
Dyer,Swansea,33,5.8,M,5
Snodgrass,Hull,1,5.7,M,5
Adam,Stoke,8,5.7,M,5
Sessegnon,West Brom,8,5.7,M,5
Larsson,Sunderland,27,5.6,M,5
Downing,West Ham,29,5.6,M,5
Ramires,Chelsea,20,5.5,M,5
Matic,Chelsea,24,5.5,M,5
McArthur,Crystal Palace,11,5.5,M,5
McGeady,Everton,18,5.5,M,5
Ram?rez,Hull,3,5.5,M,5
Blind,Man Utd,7,5.5,M,5
Fer,QPR,14,5.5,M,5
Moses,Stoke,16,5.5,M,5
Routledge,Swansea,23,5.5,M,5
Blanco,West Brom,1,5.5,M,5
Gardner,West Brom,16,5.5,M,5
Morrison,West Brom,17,5.5,M,5
Noble,West Ham,22,5.5,M,5
Arteta,Arsenal,8,5.4,M,5
N'Zogbia,Aston Villa,11,5.4,M,5
Cole,Aston Villa,0,5.4,M,5
Zaha,Crystal Palace,9,5.4,M,5
Bolasie,Crystal Palace,20,5.4,M,5
Ledley,Crystal Palace,7,5.4,M,5
Huddlestone,Hull,16,5.4,M,5
Diam?,Hull,21,5.4,M,5
Lampard,Man City,12,5.4,M,5
Carrick,Man Utd,0,5.4,M,5
